"Data Import Template"
"Table:","Product Details"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Product Details","","","","","","",""
"Column Labels:","ID","Title","Product Code","Short Description","Brand","Price","Currency","Weight"
"Column Name:","name","title","product_code","short_description","brand","price","currency","weight"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Type:","Data","Data","Data","Data","Data","Currency","Data","Data"
"Info:","","","","","","","",""
"Start entering data below this line"
"","""24ec3b40e9""","Nescafe Coffe","1001","Nescafe Coffee - Classic 100% pure natural coffee beans","Nescafe",240.0,"Rs.","2x100 gm"
"","""nutella-hazelnut-spread-with-cocoa""","Nutella Hazelnut Spread With Cocoa","1003","100% vegetarian and contains no preservatives","Nutella",570.0,"Rs.","250 grm"
"","""dairy-milk""","Dairy Milk","1002","Milk Chocolate","Cadbury",20.0,"Rs.","23 grm"
"","""bombay-baida-roti-mutton""","Bombay Baida Roti - Mutton","1005","Non Vegetarian","KUZO",102.0,"Rs.","500 grm"
"","""golden-eggs""","Golden Eggs","1004","Golden Eggs Golden Eggs, 6 pcs","Golden Eggs",42.0,"Rs.","6 pcs"
