"Data Import Template"
"Table:","Store Product"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Store Product","","","",""
"Column Labels:","ID","Store","Product","Price","Title"
"Column Name:","name","store","product","price","title"
"Mandatory:","Yes","Yes","Yes","No","No"
"Type:","Data","Link","Link","Data","Data"
"Info:","","Valid Store","Valid Inventory","",""
"Start entering data below this line"
"","""choice-parle-happy-happy""","choice","parle-happy-happy","","choice:parle-happy-happy"
"","""dmart-parle-happy-happy""","dmart","parle-happy-happy","","dmart:parle-happy-happy"
"","""poona-market-Golden Eggs""","poona-market","Golden Eggs","100",""
"","""poona-market-Bombay Baida Roti - Mutton""","poona-market","Bombay Baida Roti - Mutton","130",""
"","""poona-market-Dairy Milk""","poona-market","Dairy Milk","20",""
"","""poona-market-Nescafe Coffee""","poona-market","Nescafe Coffee","20",""
"","""poona-market-Nutella Hazelnut Spread With Cocoa""","poona-market","Nutella Hazelnut Spread With Cocoa","150",""
"","""poona-market-Haldirams Namkeen - Bhujia Sev""","poona-market","Haldirams Namkeen - Bhujia Sev","20",""
"","""poona-market-Kissan Fresh Tomato Ketchup""","poona-market","Kissan Fresh Tomato Ketchup","130",""
"","""poona-market-Sunfeast Dark Fantasy - Choco Fills""","poona-market","Sunfeast Dark Fantasy - Choco Fills","100",""
"","""poona-market-Britannia Biscuits - Marie Gold""","poona-market","Britannia Biscuits - Marie Gold","45",""
"","""poona-market-MAGGI 2-minute Masala Noodles""","poona-market","MAGGI 2-minute Masala Noodles","25",""
"","""royal-market-Dairy Milk""","royal-market","Dairy Milk","",""
"","""dmart-dairy-milk""","dmart","Dairy Milk","",""
"","""dmart""","dmart","Bombay Baida Roti - Mutton","130",""
"","""dmart-haldirams-namkeen-bhujia-sev""","dmart","Haldirams Namkeen - Bhujia Sev","45",""
"","""dmart-britannia-biscuits-marie-gold""","dmart","Britannia Biscuits - Marie Gold","10",""
"","""PRO00001""","dmart","Golden Eggs","100",""
"","""dmart-maggi-2-minute-masala-noodles""","dmart","MAGGI 2-minute Masala Noodles","50",""
"","""dmart-nescafe-coffee""","dmart","Nescafe Coffee","20",""
"","""platinum""","platinum","Nescafe Coffee","0.000000",""
"","""green-mart-nescafe-coffee""","green-mart","Nescafe Coffee","0.000000",""
"","""platinum-golden-eggs""","platinum","Golden Eggs","0.000000",""
"","""platinum-bombay-baida-roti-mutton""","platinum","Bombay Baida Roti - Mutton","0.000000",""
"","""platinum-nutella-hazelnut-spread-with-cocoa""","platinum","Nutella Hazelnut Spread With Cocoa","0.000000",""
"","""green-mart-dairy-milk""","green-mart","Dairy Milk","0.000000",""
